# Simplified Chinese<TAB>short English translation
你	you
好	good
你好	hello
我	I
我们	we
中国	China
中	middle
国	country
中文	Chinese
英文	English
英语	English
学习	study
工作	work
生活	life
世界	world
人	person
是	be
时	time
事	matter
市	city
十	ten
有	have
在	at
输入	input
输入法	-
天气	weather
电脑	computer
塔斯汀	Tastien

# Curated single-character meanings
鸡	chicken
行	okay
打	hit
来	come
去	go
看	look
听	listen
说	speak
吃	eat
喝	drink
买	buy
卖	sell
开	open
关	close
晚	late
快	fast
热	hot
后	back

# Curated common words
意思	meaning
东西	thing
手机	phone
文字	text
翻译	translation
地方	place
爸爸	dad
妈妈	mom
哥哥	brother
姐姐	sister
弟弟	brother
妹妹	sister
吃饭	eat
喝水	drink
回家	-
上班	work
下班	-
开始	start
结束	end
喜欢	like
知道	know
觉得	feel
需要	need
应该	should
帮助	help
谢谢	thanks
对不起	sorry
没事	okay
见面	meet

# Curated everyday phrases
没关系	okay
早上好	morning
晚上好	evening
晚安	goodnight
欢迎	welcome
不客气	welcome
辛苦了	thanks
请问	-
稍等	wait
等一下	wait
没问题	okay
不知道	-
我知道	know
我觉得	think
我喜欢	like
我需要	need
我可以	can
可以吗	-
怎么样	how
为什么	why
什么时候	when
在哪里	where
怎么办	-
没办法	-
不要紧	okay
小心点	careful
慢一点	slower
快一点	hurry
看一下	look
听一下	listen
说一下	say
试一下	try
很好看	beautiful
太好了	great
回头见	goodbye

# Modern products and technology
库迪	Cotti
通义千问	Qwen
豆包	Doubao
哔哩哔哩	Bilibili
拼多多	Pinduoduo
微信	WeChat
支付宝	Alipay
淘宝	Taobao
京东	JD
抖音	Douyin
快手	Kuaishou
美团	Meituan
高德地图	Amap
人工智能	AI
大模型	LLM
提示词	prompt
智能体	agent
云计算	-
开源	open-source
应用程序	app

# Ambiguous or noisy headwords
倪	-
伲	-
地	ground
得	get
着	-
要	want
给	give
过	pass
就	then
即可	enough
我去	damn
只有	only
有没有	-
难道	-
及其	-
还不如	-
要看	depends
称之为	call
足以	enough
与其	-
